index,Unnamed: 0,Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media,Keyword,Year
472367,23538,2020-08-23 22:58:12+00:00,1297669497034354695,"'The Environment Agency - which claims to put the climate emergency ""at the heart of everything we do"" - has just 94 pure electric vehicles among its 5,000-plus vans, cars, 4x4s and HGVs. '  This is a poor show. ClimateCrisis    ",BrianMcHugh2011,False,2701.0,United Kingdom,0.0,0.0,2.0,,ClimateEmergency,2020
493528,8099,2021-03-22 20:57:20+00:00,1374102920786976771,"Beware! AbolishCorporations R NOT REPORTING EVERYTHING!  ClimateStrike EVERY FRIDAY! EverybodyInNobodyOut! ClimateEmergency FRONTPAGE! Covid longterm effects? Testing 24/7! 148,000,000 American Poor NEED $2000/mo! Medicare 4 All NOW! Rent, mortgage and Student Debt forgiveness!  ",bob_outdoor,False,454.0,Sacred Apache Stronghold Land ,0.0,1.0,0.0,,ClimateEmergency,2021
178890,13493,2018-05-15 22:57:01+00:00,996524882241433600,  Are you saying Global Warming is real? Or is that a new hockey team?,Sooby78,False,116.0,Inconveniently isolated in PA,0.0,0.0,0.0,,globalwarming,2018
312667,1159,2018-01-13 04:59:07+00:00,952042300854751232,Toronto's current temperature of -12.0°C is 4.7°C below the average low of -7.3°C for this date! extremeweather torontoweather,XWeatherTO,False,264.0,"Toronto, Ontario",0.0,0.0,0.0,,extremeweather,2018
708258,29150,2019-10-19 23:53:32+00:00,1185705570894073857,  I wonder if people realize climate change is going to happen regardless if we are here or not or if we do something about it or not its going to happen regardless,ThinkingOfMoney,False,353.0,,0.0,0.0,0.0,,climatechange,2019
338855,118,2020-01-06 23:30:16+00:00,1214328358416334848,Communities across the Lower Mainland are opening ExtremeWeather shelters as heavy rainfall and low temps are expected overnight. Please check our shelter map for details:    ,BC_Housing,True,12202.0,"British Columbia, Canada",1.0,5.0,2.0,"[Photo(previewUrl='https://pbs.twimg.com/media/ENopNEqXkAA9c4i?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENopNEqXkAA9c4i?format=jpg&name=large')]",extremeweather,2020
670082,27478,2018-10-02 23:44:54+00:00,1047271236710146048,Climate change panel vets landmark global warming report   Climate change panel vets landmark global warming report,femmekatz,False,9871.0,"Manhattan, KS",0.0,0.0,0.0,,climatechange,2018
436365,23990,2019-08-29 23:35:01+00:00,1167219132242300928,        True all oligarch owned including the guardian. Climate emergency is played down by all of them.,BrexBits,False,182.0,unknown ,0.0,0.0,0.0,,ClimateEmergency,2019
780544,28336,2021-10-11 23:55:21+00:00,1447712455145279488,"WHY NOT? Climate change doubters and proponents alike should pay attention to Greta, and other young folks making sacrifices to keep our planet habitable!  ",HowlettDerrick,False,2.0,,0.0,0.0,0.0,,climatechange,2021
595512,26002,2020-09-17 23:57:40+00:00,1306744161228533765,    Shes beautiful and shes % correct. ClimateCrisis JaneFonda ReidOut,DesignPolice,False,1200.0,"Pennsylvania, USA",0.0,0.0,2.0,,ClimateCrisis,2020
559286,26216,2019-09-20 23:37:04+00:00,1175192180031447040,We stand with our children. FridaysForFuture RiverJamFestival ExtinctionRebellion  ClimateEmergency ActNow ClimateCrisis   LumenARRT!  ,LumenARRT,False,853.0,Maine,0.0,1.0,2.0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1175192109755842561/pu/img/48Ylu14wo3YvfZRd.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1175192109755842561/pu/vid/320x320/GScsIXCcAaUUFDEL.mp4?tag=10', bitrate=432000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1175192109755842561/pu/pl/Pqo9PwZrEV5U9258.m3u8?tag=10', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1175192109755842561/pu/vid/720x720/jq-faUpLSe9QXtsa.mp4?tag=10', bitrate=1280000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1175192109755842561/pu/vid/480x480/lXVhXmJEqQej8Wzv.mp4?tag=10', bitrate=832000)], duration=30.172, views=39)]",ClimateCrisis,2019
870049,367,2021-01-05 08:51:59+00:00,1346378904433471488,"    Better than Wind and PV powergreenhouses EmitNoCO2 Nofossilfuel, coal gone maybe refuse? Stable 1gw50sqkm carbonneutral Deserts and opencast sites. thermalgroundstore plantenergyX40 &lt; 24/365 optimal growth 16x5 The big plant synergy,  littlefoots the area. Saves TREES.",ScarletSedition,False,1183.0,"Electronic Voting, you decide.",1.0,0.0,0.0,,carbonneutral,2021
308394,33386,2021-11-30 22:49:48+00:00,1465815355474038791,Retweet if you hateeee global warming (I see who sees this ),JesusChrist_alt,False,832.0,17 she/her,0.0,3.0,14.0,,globalwarming,2021
274940,36532,2020-12-31 23:24:00+00:00,1344786413095628803,OneWorld GlobalWarming HealthScience PoliticalLogic  Gaslighting Capitalism Semantics FakeWorlds      Science SharedFacts,allentien,False,41743.0,"Baltimore, 地球, Cape Breton    ",0.0,8.0,6.0,,globalwarming,2020
663221,20617,2018-07-26 23:56:25+00:00,1022631757353349121,"""In terms of vulnerabilities to climate change, Naomi Navoce says persons with disabilities are the most vulnerable in terms of its impacts.""     ",bluntshovels,False,6179.0,Wiradjuri land,0.0,2.0,0.0,,climatechange,2018
